gene	Ot-F6-AH	Ot-F6-E	Ot-F6-G	Ot-F6-L	Ot-F6-PH	Ot-F7-AH	Ot-F7-E	Ot-F7-G	Ot-F7-L	Ot-F7-PH	Ot-F8-AH	Ot-F8-E	Ot-F8-G	Ot-F8-L	Ot-F8-PH	Ot-F9-AH	Ot-F9-E	Ot-F9-G	Ot-F9-L	Ot-F9-PH	Ot-F10-AH	Ot-F10-E	Ot-F10-G	Ot-F10-L	Ot-F10-PH	Ot-F11-AH	Ot-F11-G	Ot-F11-L	Ot-F11-PH	Ot-M2-AH	Ot-M2-E	Ot-M2-G	Ot-M2-L	Ot-M2-PH	Ot-M4-AH	Ot-M4-E	Ot-M4-G	Ot-M4-L	Ot-M4-PH	Ot-M7-AH	Ot-M7-E	Ot-M7-G	Ot-M7-L	Ot-M7-PH	Ot-M9-AH	Ot-M9-E	Ot-M9-G	Ot-M9-L	Ot-M9-PH	Ot-M11-AH	Ot-M11-E	Ot-M11-G	Ot-M11-L	Ot-M11-PH	Ot-M12-AH	Ot-M12-E	Ot-M12-G	Ot-M12-L	Ot-M12-PH
jg6286.t1	1.15484525868537	1.00247730392555	1.00251050214441	0	1.00376826826336	0	0.999823325973675	2.00581487212695	0	0	0	0	0	1.0109731010251	0	0	1.00085179590184	3.02335166895444	0	0	0	3.02324252569877	5.98528871340168	0	8.56620897018174	0.998089497660277	0	0	5.00272337521232	0.996036377433357	0.999919233968716	2.9924810864196	1.06813521764045	1.99384064006922	0	0	0.995262284628764	0	0	0.997403039300229	0	0.99663309714794	0	0	0	0.996526181710024	3.98170207456031	0	0	4.48651601728574	0	0	0	0	0	0.99832192442923	1.99964112577711	2.00033982829073	4.00312958498219
jg5257.t1	4.94627856376362	2.97943962988315	18.9431078581158	1.96619517895198	18.47770249814	5.93490947246305	16.8499599053499	59.8310342836812	7.90264054046589	2.98042509919831	9.02018332810514	4.94669047601166	9.94736332367368	7.56570442737269	7.9331640971165	2.01717376859582	9.16117865094808	82.5885901086508	5.06565492242333	2.90124200441006	2.9240285745539	7.91807294935506	11.9780331287295	8.75549090211373	15.9034322976133	4.08716170572004	2.92758920629546	0.996330489551943	13.4480749907668	0	5.14226235114358	5.02196519350285	6.09188447220211	4.94111128484828	1.0041241778767	0	1.00658163698135	0.990887353433943	0.993037304816618	1.02187117980452	13.3826066951563	9.06005191018664	4.03771310391586	0	2.01207131759681	0	6.06139463094167	0	1.02144644397561	13.1075573057692	8.07142442253815	9.04743087663294	7.08401632998736	4.96587289714127	0	2.0001803190606	16.9391787241147	0	2.04360654934365
jg5605.t1	64.1037860415413	45.1425318482943	75.2541226040012	111.510988901747	88.8736812907426	61.0776283476329	68.3361135516001	55.2152469051036	80.2069676016002	53.8530091528273	87.9271549891678	81.2654032013573	116.218729531692	124.270637380293	86.2253765696425	36.9886040739737	67.8639447632619	102.36370161409	126.228231743739	84.1346420104307	79.5255273189505	107.171140212973	72.819225860717	65.5219648697815	50.2915653682075	68.5651578337374	98.9471771271251	58.4525258919709	85.0561700687009	24.7985736049353	42.7688728565173	54.7886597234757	68.5089287765117	26.9934697291666	40.8600427620901	59.7955564770318	76.1976517768766	59.8737782927387	29.1403162283839	47.6572327739788	67.5924009523053	80.5937910094537	88.475821989171	40.8598003881493	74.8541345635087	42.0213111404933	131.026992810402	74.6878546942981	58.6744132492217	61.7865029429769	37.0862489295434	64.6403112487865	66.510393978429	44.9832366712331	31.7723286391801	47.9057321632437	121.077074108546	81.1433442254128	53.8297981602917
jg5763.t1	176.919101123933	137.529139460638	247.418182833154	246.085481631415	311.954574069801	172.99315643515	209.963918987233	322.29393089387	232.7693388044	197.902941450376	161.659673487208	221.671623935525	337.424881937021	208.341659872565	160.258575591795	138.848355040517	241.430631217487	382.355464606078	278.85094932827	230.136259401085	204.607629344406	275.949323286587	185.039476636818	226.536760853452	279.652046953994	254.412277500804	279.462288575138	198.518759752063	278.007726008393	50.4374149612352	150.417263062386	191.321805720552	222.660309820409	120.68526312027	133.187429220162	222.934629245031	262.124980687064	144.029224541282	164.53249975011	120.365998963678	157.595176392295	286.503576286173	179.576175164532	85.5872076030701	142.846301345763	86.6857056984894	442.143315946468	238.698750969337	162.226359402765	88.3604871577489	172.800174158769	213.327174093747	195.327980263418	154.269721698636	158.71365191168	156.203719789485	324.589745663272	150.89577761051	198.764072859463
jg6736.t1	267.73082332625	212.998028105621	213.185623269574	349.954924155198	372.767004462787	435.9174165299	490.132797244905	333.590292848352	500.085277746149	368.466185476128	177.404183650585	215.684664792888	239.56469831946	346.309733062762	196.014171385199	313.51062554288	502.794642086153	353.622605886696	701.003765078425	417.937766833713	664.216934947782	800.837959295757	436.128676932589	484.411502438846	362.688735919534	581.591064651435	553.356304161987	365.263938691583	536.615966100036	71.3471180056357	396.047252037654	376.552271129	439.197469709604	258.953583531069	356.764507906178	459.280318131895	534.493168174321	477.008419358192	329.37475799514	235.055904816314	341.688048800203	484.452062651326	468.763728410858	195.31043118209	343.287593733126	270.043650226251	713.822468305498	406.108047280663	269.770850485119	226.036490388535	271.325721512362	313.345339724037	437.223595635669	256.336695035821	339.735893731274	319.551116203862	603.877680028194	456.364789828831	357.877771479661
jg7432.t1	15.2314876548272	18.2144998186292	20.7580511716318	28.5613982641006	30.4505878899349	32.9626245053704	37.4409502628852	41.4196423244135	60.3506572190664	28.7428303022537	26.7585985459068	8.16828882130209	22.9271942825914	47.5256367766947	23.1365742981157	26.0851931799605	38.3469490901794	52.0457869417148	63.9243921523173	27.3569638918393	53.9641154532092	49.1250293659873	37.1640863394463	52.0730205262831	31.0650874208163	33.7953127513671	51.6041215757137	34.4380913873975	41.1587962863421	12.178828569481	42.5637539573578	18.5514363372278	35.8886246003377	18.8561664524979	23.9931340414211	35.4805323809038	36.6189817362115	34.5078327675411	22.9911343345899	24.7393818930003	23.6852886041799	42.4935152802796	47.0488042045355	10.8596741273959	41.9198619500004	23.1458924867556	45.9723125117151	33.0330511443954	23.6358748452667	26.2778545507449	12.2608445022887	22.1187110159393	26.0782653055667	19.5862210581988	30.0992660521209	15.5451694265534	37.7051745719365	44.711434611246	25.772116647518
jg6858.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jg6940.t1	51.2927573067718	31.4591540828145	86.3656680061079	52.7589363818148	109.249118860028	56.8754311572206	58.9371590341343	121.309837173118	72.8215378140164	103.706655501773	33.0265332817842	18.1007118023086	114.24995709855	31.3304804497894	67.1529621956194	60.7980761367732	65.2338436185934	131.740112340327	78.1576670022818	108.084444442597	68.762029187624	67.8368044493317	53.3235039610833	108.118351061657	132.251110396893	63.6852593599595	148.348724960942	47.3934104763444	98.4941931492136	14.9102083701496	38.0764019371998	62.7379102220885	60.3912521064642	97.761813906286	44.5676817630309	52.8205426471435	102.188378129263	37.2011355926584	78.3177489443593	67.94935477776	66.7100880860608	121.083012523421	87.9287956770091	78.2418370256006	71.1649485816483	43.3812838345689	210.920370208416	49.8730138804381	117.741253392292	114.11632326437	28.7016124410228	86.8494999956173	44.4168836132628	93.3871410884724	95.6238045987325	60.1023713887376	139.434809387082	57.8747321623526	111.856223884505
jg6557.t1	0	0.58382426434015	0	0	0	0	0	0	0	0	0	0	0	0	2.01176098102402	0.332232772905263	0	0	0.702656678523313	0	0	0	0	0	0	0	0	0.500604932929383	0	0	0	0.699816950728658	0.702086596565419	0	0	0	0	0	0	2.95566144596005	0	0	0	0	0	0	0	0	0	0	0	0	0	0.500978622383467	0	0	0	0	0
jg6420.t1	881.449703571367	833.663842026459	801.987223899494	1021.90170209602	1027.88459704409	1044.91565665974	1180.7306605627	990.711317689512	1246.89134314726	869.221465872901	926.213631552198	1162.36244881394	1072.3847806164	1136.30411325369	976.377100254493	1009.50379860789	1458.92803468023	1151.04035676926	1852.75130359513	1020.25824657421	1303.88288256241	1488.30484826817	874.888533875757	1095.70987114129	1008.63623445695	1130.2546453287	1133.24602578509	985.221521890416	1201.08090059646	245.31567290386	767.610262518185	695.056022872649	1108.76992460823	647.313140680589	897.891822322437	1367.08926225656	1297.60285963739	1032.94038084771	925.335681801166	818.561603785221	945.929231099474	1179.03257534564	1256.09823700513	565.703189623793	1016.63661009602	738.365464278695	1914.23537745396	1351.46671522318	1061.40172223916	588.018595120269	749.659055535814	1028.8799350034	1044.4103662233	693.436452359105	763.34507479121	814.279858417427	1240.7113987548	932.783486628895	855.056465014826
